runId,mode,scene,winner,endReason,fightDurationSeconds,bossStartHP,bossFinalHP,playerStartHP,playerFinalHP,firstSuccessfulHitBy,firstSuccessfulHitTime,firstSuccessfulHitDamage,bossAttackAttempts,bossAttackHits,bossAttackMisses,bossAttackAccuracy,bossTotalDamageDealt,bossTotalDamageTaken,bossDamagePerSecond,bossAverageDamagePerHit,bossMaxSingleHitDamage,bossAttackOneHandAttempts,bossAttackOneHandHits,bossAttackTwoHandAttempts,bossAttackTwoHandHits,bossAttackSpinAttempts,bossAttackSpinHits,bossPunchLeftAttempts,bossPunchLeftHits,bossUniqueAttackTypesUsed,bossAttackEntropy,bossMaxSameAttackStreak,bossMaxHitStreak,bossRollCount,bossRetreatCount,bossStrafeLeftCount,bossStrafeRightCount,bossForwardMoveCount,averageDistance,minDistance,maxDistance,timeTooClose,timeIdealRange,timeTooFar,bossTimeNearEdge,playerTimeNearEdge,timeAnyNearEdge,longestNoDamageWindow
1775584035,RL,ArenaRL,Boss,PlayerDeath,97.6533,100,2,100,0,Boss,3.65,5,34,28,6,0.8235,102,98,1.0445,3.6429,5,16,15,11,9,4,2,3,2,4,0.8554,3,8,22,16,28,48,288,4.196,0.817,23.9307,26.4001,13.7,16.5,0.0,0.0,0.0,21.5
1775584141,RL,ArenaRL,Player,BossDeath,90.0816,100,0,100,5,Player,9.0816,2,36,30,6,0.8333,95,100,1.0546,3.1667,5,20,19,7,4,3,2,6,5,4,0.83,6,18,20,18,34,43,273,3.3418,0.8337,14.5185,25.5001,14.3,8.3,0.0,0.0,0.0,9.8167
1775584241,RL,ArenaRL,Player,BossDeath,71.6489,100,0,100,43,Player,21.3156,2,27,17,10,0.6296,57,102,0.7955,3.3529,5,11,9,7,4,3,1,6,3,4,0.9336,4,5,15,6,23,30,249,4.7498,0.82,20.3279,19.5,9.3,16.0,0.0,0.0,0.0,21.3156
1775584318,RL,ArenaRL,Player,BossDeath,62.8555,100,0,100,23,Player,6.1055,2,26,24,2,0.9231,82,100,1.3046,3.4167,5,17,16,4,4,4,3,1,1,4,0.7062,7,18,14,2,27,35,194,3.5414,0.7921,14.5315,26.8001,6.7,11.7,0.0,0.0,0.0,16.4334
1775584387,RL,ArenaRL,Player,BossDeath,75.3638,100,0,100,31,Boss,2.9138,5,27,20,7,0.7407,69,100,0.9156,3.45,5,14,11,5,4,4,3,4,2,4,0.8791,5,9,16,9,25,40,255,4.0256,0.8315,14.7314,21.6001,8.4,13.3,0.0,0.2,0.2,16.25
1775584468,RL,ArenaRL,Boss,PlayerDeath,93.902,100,2,100,0,Player,11.7814,2,32,30,2,0.9375,101,98,1.0756,3.3667,5,15,14,5,5,7,6,5,5,4,0.9145,5,22,21,8,28,48,290,3.764,0.8164,15.0492,29.7001,9.9,14.9,0.0,0.0,0.0,17.25
1775584567,RL,ArenaRL,Player,BossDeath,50.4291,100,0,100,18,Boss,4.9291,5,26,23,3,0.8846,82,100,1.626,3.5652,5,12,12,7,6,4,3,3,2,4,0.8997,2,9,12,4,7,19,100,2.2406,0.8117,10.0,24.5001,7.7,2.6,0.0,0.0,0.0,4.9291
1775584623,RL,ArenaRL,Boss,PlayerDeath,82.3311,100,6,100,0,Player,2.2759,2,34,30,4,0.8824,103,94,1.251,3.4333,5,16,14,5,5,7,7,6,4,4,0.9147,4,13,21,10,28,31,212,3.4706,0.828,17.7873,35.9,9.5,11.7,0.0,0.0,0.0,15.1834
1775584901,RL,ArenaRL,Boss,PlayerDeath,130.4558,100,8,100,0,Player,4.1,2,36,32,4,0.8889,102,92,0.7819,3.1875,5,21,20,5,4,5,3,5,5,4,0.8201,4,10,28,18,41,73,562,7.1484,0.8103,29.0788,31.6001,11.8,44.7999,41.1,77.1994,87.1992,58.8833
1775585097,RL,ArenaRL,Player,BossDeath,63.8,100,0,100,13,Player,4.2667,2,30,28,2,0.9333,91,100,1.4263,3.25,5,11,11,5,4,7,6,7,7,4,0.9707,5,14,11,8,15,25,157,2.9518,0.823,14.4701,25.6001,8.1,6.6,0.0,0.0,0.0,7.6333
